datetime,id,text,tweet_url,external_link,tweeted_with_app,mentioned_users,reply_count,retweet_ount,like_count,quote_count,user_account_name,user_display_name,user_description,user_created_date,user_followers_count,user_tweets_count,user_likes_count,user_location
2022-01-19 09:48:59+00:00,1483738249646514180,"All countries must enhance cross-sectoral collaboration to turn science into action that saves lives, incl. the public &amp; private sectors &amp; civil society. Together we can harness the power of science to promote health, keep the 🌍 safe &amp; serve the vulnerable. #CongresoFuturo2022 https://t.co/M6lUjGeSJ1",https://twitter.com/DrTedros/status/1483738249646514180,,Twitter for iPhone,,19,40,96,2,DrTedros,Tedros Adhanom Ghebreyesus,Director-General of the World Health Organization. Retweets are not endorsements,2010-09-12 13:09:27+00:00,1648774,31507,15584,"Geneva, Switzerland"
2022-01-19 09:46:30+00:00,1483737621872455680,"RT @mrigankshail: Today's @WHO Presser:
1.
""Omicron is causing hospitalizations + deaths, &amp; even the less severe cases are inundating healt…",https://twitter.com/DrTedros/status/1483737621872455680,,Twitter for iPad,mrigankshail,0,33,0,0,DrTedros,Tedros Adhanom Ghebreyesus,Director-General of the World Health Organization. Retweets are not endorsements,2010-09-12 13:09:27+00:00,1648774,31507,15584,"Geneva, Switzerland"
2022-01-19 08:50:12+00:00,1483723452766949376,"RT @WHO: @DrTedros @UN @ACTAccelerator @TheGPMB @TheIndPanel ""This month is #CervicalCancer Awareness month &amp; I'm pleased to see both actio…",https://twitter.com/DrTedros/status/1483723452766949376,,Twitter for iPhone,WHO,0,23,0,0,DrTedros,Tedros Adhanom Ghebreyesus,Director-General of the World Health Organization. Retweets are not endorsements,2010-09-12 13:09:27+00:00,1648774,31507,15584,"Geneva, Switzerland"
2022-01-18 21:13:07+00:00,1483548028367777799,"Vielen Dank @SvenjaSchulze68, #Germany Minister for Economic Cooperation and Development, for encouraging well planned sharing of #COVID19 vaccine doses with lower- and low-income countries. We must #ACTogether to distribute the tools equitably, timely and efficiently. https://t.co/TbEnOTMhVb",https://twitter.com/DrTedros/status/1483548028367777799,['https://twitter.com/bmz_bund/status/1482635105550180352'],Twitter for iPhone,SvenjaSchulze68,20,31,55,2,DrTedros,Tedros Adhanom Ghebreyesus,Director-General of the World Health Organization. Retweets are not endorsements,2010-09-12 13:09:27+00:00,1648774,31507,15584,"Geneva, Switzerland"
2022-01-18 21:12:30+00:00,1483547871744040966,#COVID19 has highlighted the link between energy &amp; health from maintaining the vaccines cold chain to operating vital medical equipment. Access to electricity can mean the difference between life &amp; death. That's why @WHO supports sustainable energy to achieve #HealthForAll. #ADSW https://t.co/dRB2r1vJPg,https://twitter.com/DrTedros/status/1483547871744040966,,Twitter for iPhone,WHO,39,86,204,5,DrTedros,Tedros Adhanom Ghebreyesus,Director-General of the World Health Organization. Retweets are not endorsements,2010-09-12 13:09:27+00:00,1648774,31507,15584,"Geneva, Switzerland"
2022-01-18 21:09:38+00:00,1483547153121353728,"Thank you, Princess @dinamired, for your strong advocacy. Several countries, following @WHO recommendations, are demonstrating that with political commitment and investment in innovation and health systems, we can make #CervicalCancer history for all girls and women. https://t.co/Ef05D4KJeZ",https://twitter.com/DrTedros/status/1483547153121353728,['https://twitter.com/dinamired/status/1483411474378903555'],Twitter for iPhone,dinamired,8,22,69,2,DrTedros,Tedros Adhanom Ghebreyesus,Director-General of the World Health Organization. Retweets are not endorsements,2010-09-12 13:09:27+00:00,1648774,31507,15584,"Geneva, Switzerland"
2022-01-18 20:20:05+00:00,1483534683023585286,"Merci beaucoup, my friend Ambassador @JeromeBonnafont, #France for a productive discussion on sustainable financing for #WHOImpact in countries, development of a #PandemicAccord. We look forward to the #EB150 discussions on strengthening @WHO. https://t.co/DIO7zBDX7F",https://twitter.com/DrTedros/status/1483534683023585286,,Twitter for iPhone,JeromeBonnafont,43,65,169,3,DrTedros,Tedros Adhanom Ghebreyesus,Director-General of the World Health Organization. Retweets are not endorsements,2010-09-12 13:09:27+00:00,1648774,31507,15584,"Geneva, Switzerland"
2022-01-18 20:02:32+00:00,1483530265062486017,"Omicron continues to sweep the 🌍. I remain concerned about countries with low vaccination rates, as unvaccinated people are many times more at risk of severe illness &amp; death. I urge everyone to do their best to reduce risk of infection &amp; help take pressure off health systems. https://t.co/CymL7Vxvel",https://twitter.com/DrTedros/status/1483530265062486017,,Twitter for iPhone,,139,306,608,30,DrTedros,Tedros Adhanom Ghebreyesus,Director-General of the World Health Organization. Retweets are not endorsements,2010-09-12 13:09:27+00:00,1648774,31507,15584,"Geneva, Switzerland"
2022-01-18 19:14:28+00:00,1483518167674761223,"Congratulations, @RobertaMetsola, on being elected to serve as the @Europarl_EN President. I wish you great success and look forward to work closely together to end the #COVID19 pandemic and deliver #HealthForAll. 
And I wish you a very happy birthday! https://t.co/birCbKtHXC",https://twitter.com/DrTedros/status/1483518167674761223,['https://twitter.com/robertametsola/status/1483452523033808905'],Twitter for iPhone,RobertaMetsola,11,40,93,0,DrTedros,Tedros Adhanom Ghebreyesus,Director-General of the World Health Organization. Retweets are not endorsements,2010-09-12 13:09:27+00:00,1648774,31507,15584,"Geneva, Switzerland"
2022-01-18 16:01:38+00:00,1483469641603235841,Media briefing on #COVID19 https://t.co/sTCBq4xrcD,https://twitter.com/DrTedros/status/1483469641603235841,['https://twitter.com/who/status/1483469303470964737'],Twitter for iPad,,16,46,92,3,DrTedros,Tedros Adhanom Ghebreyesus,Director-General of the World Health Organization. Retweets are not endorsements,2010-09-12 13:09:27+00:00,1648774,31507,15584,"Geneva, Switzerland"
2022-01-18 15:41:35+00:00,1483464594081333252,Our thoughts are with the people and families affected by the volcanic eruption and tsunami in #Tonga &amp; our condolences go out to those who have lost loved ones. @WHO will continue closely collaborating with the government and partners to support the response. https://t.co/8RrDtCtkt8,https://twitter.com/DrTedros/status/1483464594081333252,['https://twitter.com/consulatekot/status/1483384039826464768'],Twitter for iPhone,WHO,9,76,193,5,DrTedros,Tedros Adhanom Ghebreyesus,Director-General of the World Health Organization. Retweets are not endorsements,2010-09-12 13:09:27+00:00,1648774,31507,15584,"Geneva, Switzerland"
